ROWNUM;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;GLOBALID;
480;"Тимирязевская, вход в вестибюль";"37.57632096";"55.81928776";"Тимирязевская";"Московская монорельсовая транспортная система";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:16:30, по 2 пути в 07:00:00; последний поезд по 1 пути в 23:21:30, по 2 пути в 23:05:00";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:16:30, по 2 пути в 07:00:00; последний поезд по 1 пути в 23:21:30, по 2 пути в 23:05:00";"";"";"";"";"85312284";
481;"Тимирязевская, вход 1 в вестибюль";"37.57506013";"55.81901127";"Тимирязевская";"Серпуховско-Тимирязевская линия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:20, по 2 пути в 05:33:30; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:05";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:20, по 2 пути в 05:33:20; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:05";"3";"3";"6";"";"85312283";
482;"Тимирязевская, вход 2 в вестибюль";"37.57519065";"55.81717587";"Тимирязевская";"Серпуховско-Тимирязевская линия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:20, по 2 пути в 05:33:30; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:05";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:20, по 2 пути в 05:33:20; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:05";"3";"3";"6";"";"85312282";
483;"Третьяковская, вход в вестибюль";"37.62562571";"55.74078928";"Третьяковская";"Калужско-Рижская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:30, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:24:30, по 2 пути в 01:03:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:30, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:24:30, по 2 пути в 01:03:00";"";"5";"5";"14.04.2014-21.05.2014";"85312285";
484;"Трубная, вход в вестибюль";"37.62192832";"55.76777678";"Трубная";"Люблинско-Дмитровская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:45, по 2 пути в 05:50:15; последний поезд по 1 пути в 01:08:35, по 2 пути в 01:42:05";"открытие в 05:45:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:52:45, по 2 пути в 05:52:40; последний поезд по 1 пути в 01:08:35, по 2 пути в 01:42:05";"";"3";"3";"";"85312286";
485;"Тульская, вход в северный вестибюль";"37.62257107";"55.70966883";"Тульская";"Серпуховско-Тимирязевская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:25, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:26:25, по 2 пути в 01:37:25";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:25, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:26:25, по 2 пути в 01:37:25";"";"6";"6";"07.10.2014-13.11.2014";"85312288";
486;"Тульская, вход в южный вестибюль";"37.62246465";"55.70788765";"Тульская";"Серпуховско-Тимирязевская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:25, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:26:25, по 2 пути в 01:37:25";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:25, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:26:25, по 2 пути в 01:37:25";"";"3";"3";"";"85312287";
487;"Тургеневская, вход 3 в вестибюль";"37.63645748";"55.76549284";"Тургеневская";"Калужско-Рижская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:25, по 2 пути в 05:46:45; последний поезд по 1 пути в 01:37:20, по 2 пути в 01:24:15";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:20, по 2 пути в 05:46:45; последний поезд по 1 пути в 01:37:20, по 2 пути в 01:24:15";"";"4";"4";"10.03.2014-13.05.2014";"85312289";
488;"Тургеневская, вход 4 в вестибюль";"37.63696486";"55.76526629";"Тургеневская";"Калужско-Рижская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:25, по 2 пути в 05:46:45; последний поезд по 1 пути в 01:37:20, по 2 пути в 01:24:15";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:20, по 2 пути в 05:46:45; последний поезд по 1 пути в 01:37:20, по 2 пути в 01:24:15";"";"4";"4";"10.03.2014-13.05.2014";"85312290";
489;"Тушинская, вход 1 во второй вестибюль";"37.43804678";"55.82824765";"Тушинская";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:30, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:35, по 2 пути в 05:53:30; последний поезд по 1 пути в 01:08:15, по 2 пути в 01:54:15";"";"4";"4";"";"85312294";
